name,rating,votes,salary,sectors,location
Northern Trust Operating Services,3.6,2.6k,18k,Financial Services ,Bengaluru
Adani Group,3.8,2.6k,12.1k,Power ,Ahmedabad
Sterlite Technologies,3.8,2.6k,10k,Hardware & Networking ,Chhatrapati
CorroHealth Infotech,3.5,2.6k,8.2k,Analytics & KPO ,Hyderabad
Tractors and Farm Equipment,3.9,2.5k,8.4k,Industrial Machinery ,Chennai
ICICI Securities,3.9,2.5k,9.9k,Financial Services ,Mumbai
Bajaj Electricals,3.9,2.5k,7.4k,Consumer Electronics & Appliances ,Mumbai
Parle Agro,3.9,2.5k,6.8k,Beverage ,Mumbai
Sammaan Capital Limited,3.7,2.5k,5.7k,NBFC ,Gurugram
Emcure Pharmaceuticals,3.6,2.5k,8.7k,Pharma ,Pune
TaskUs,2.9,2.5k,10.3k,BPO ,Indore
Biocon Limited,4.0,2.5k,11.5k,Biotechnology ,Bengaluru
Planet Spark,3.8,2.5k,3.8k,EdTech ,Gurugram
Hero FinCorp,3.9,2.5k,5.9k,NBFC ,New
Cadila Pharmaceuticals,3.1,2.5k,8.3k,Pharma ,Ahmedabad
Mahindra Holidays & Resorts,3.5,2.5k,6.1k,Hospitality ,Mumbai
Intellect Design Arena,3.5,2.5k,14.2k,Software Product ,Chennai
Datamatics Global Services,3.4,2.5k,11.7k,IT Services & Consulting ,Mumbai
Mahindra Rural Housing Finance,4.0,2.5k,4.8k,NBFC ,Mumbai
Syngene International,3.7,2.5k,12.9k,Clinical Research ,Bengaluru
McDonald's,3.8,2.5k,5k,Hospitality ,New
Newgen Software Technologies,4.1,2.5k,11.8k,IT Services & Consulting ,Noida
Team Computers,3.7,2.5k,8.9k,IT Services & Consulting ,New
Paras Hospital,4.1,2.5k,3.3k,Healthcare ,Patna
Patanjali Ayurved,3.9,2.5k,5.9k,FMCG ,Haridwar
Bureau Veritas,3.8,2.4k,8.5k,Other ,Mumbai
RMSI,3.5,2.4k,9.2k,IT Services & Consulting ,Hyderabad
Aditya Birla Group,4.1,2.4k,10.2k,Metals & Mining ,Mumbai
3i Infotech,3.4,2.4k,10.7k,IT Services & Consulting ,Mumbai
Cholamandalam MS General Insurance,3.7,2.4k,5.9k,Insurance ,Chennai
Info Edge,3.8,2.4k,11.5k,Internet ,Noida
